"entity","brand","updated_week_ending_date","forecast_channel","productline","producttype","productvariant","productform","shipment_sales","shipment_units","pos_sales","pos_units"
"The Gorilla Glue Company LLC","OKeeffes",2025-06-01,"CANADIAN TIRE","Hand Cream","Working Hands","Original","Jar",NA,NA,5645.91,471
"The Gorilla Glue Company LLC","OKeeffes",2024-09-08,"DOLLAR GENERAL","Hand Cream","Working Hands","Night Treatment","Tube",NA,NA,1015.18,309
"The Gorilla Glue Company LLC","OKeeffes",2024-12-15,"DOLLAR GENERAL","Foot Mask","Healthy Feet","Sock","Pouch",NA,NA,327.32,70
"The Gorilla Glue Company LLC","OKeeffes",2024-10-13,"DOLLAR GENERAL","Foot Cream","Healthy Feet","Original","Jar",NA,NA,11592.63,1314
"The Gorilla Glue Company LLC","OKeeffes",2025-01-26,"DOLLAR GENERAL","Hand Cream","Working Hands","Original","Jar",NA,NA,408.16,57
"The Gorilla Glue Company LLC","OKeeffes",2025-05-18,"DOLLAR GENERAL","Multiple","Product","Combo","Giftbox",NA,NA,0.33,33
"The Gorilla Glue Company LLC","OKeeffes",2024-10-13,"KROGER","Foot Cream","Healthy Feet","Original","Tube",NA,NA,4571.84,427
"The Gorilla Glue Company LLC","OKeeffes",2024-12-01,"KROGER","Foot Cream","Healthy Feet","Original","Jar",NA,NA,2468.87,270
"The Gorilla Glue Company LLC","OKeeffes",2024-10-06,"DOLLAR GENERAL","Hand Cream","Working Hands","Original","Jar",NA,NA,651.63,150
"The Gorilla Glue Company LLC","OKeeffes",2025-06-15,"DOLLAR GENERAL","Foot Cream","Healthy Feet","Original","Tube",NA,NA,288.89,68
"The Gorilla Glue Company LLC","OKeeffes",2025-01-12,"KROGER","Foot Cream","Healthy Feet","Original","Tube",NA,NA,6371.18,593
"The Gorilla Glue Company LLC","OKeeffes",2024-08-11,"HOME DEPOT CA","Hand Cream","Working Hands","Original","Tube",NA,NA,567.15,57
"The Gorilla Glue Company LLC","OKeeffes",2025-01-26,"KROGER","Foot Cream","Healthy Feet","Original","Tube",NA,NA,7183.66,664
"The Gorilla Glue Company LLC","OKeeffes",2024-11-10,"HOME DEPOT CA","Foot Cream","Healthy Feet","Original","Tube",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT CA","Lip Balm","Lip Repair","Cooling","Stick",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-11-03,"HOME DEPOT CA","Lip Balm","Lip Repair","Unscented","Stick",NA,NA,1348.3,194
"The Gorilla Glue Company LLC","OKeeffes",2024-09-08,"HOME DEPOT US","Foot Cream","Healthy Feet","Original","Jar",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-08-04,"HOME DEPOT CA","Lip Balm","Lip Repair","Aloe","Stick",NA,NA,14.92,2
"The Gorilla Glue Company LLC","OKeeffes",2024-09-29,"HOME DEPOT CA","Lip Balm","Lip Repair","Cooling","Stick",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-11-17,"HOME DEPOT CA","Lip Balm","Lip Repair","Unscented","Stick",NA,NA,1549.85,223
"The Gorilla Glue Company LLC","OKeeffes",2024-11-24,"HOME DEPOT CA","Lip Balm","Lip Repair","Cooling","Stick",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-01-12,"HOME DEPOT CA","Foot Cream","Healthy Feet","Original","Tube",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-01-12,"HOME DEPOT CA","Lip Balm","Lip Repair","Cooling","Stick",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-01-19,"HOME DEPOT CA","Multiple","Product","Combo","Mixed Pack",NA,NA,19.82,1
"The Gorilla Glue Company LLC","OKeeffes",2024-10-20,"HOME DEPOT CA","Body Cream","Skin Repair","Original","Tube",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2025-06-01,"HOME DEPOT CA","Hand Cream","Working Hands","Original","Jar",NA,NA,1074.6,108
"The Gorilla Glue Company LLC","OKeeffes",2025-03-16,"HOME DEPOT CA","Lip Balm","Lip Repair","Cooling","Stick",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-05-04,"HOME DEPOT CA","Lip Balm","Lip Repair","Cooling","Stick",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-09-15,"HOME DEPOT US","Hand Soap","Working Hands","Unscented","Pump",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-10-13,"HOME DEPOT US","Lip Balm","Lip Repair","SPF","Stick",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-02-23,"HOME DEPOT CA","Lip Balm","Lip Repair","Cooling","Stick",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-03-23,"HOME DEPOT CA","Lip Balm","Lip Repair","Aloe","Stick",NA,NA,126.82,17
"The Gorilla Glue Company LLC","OKeeffes",2025-04-27,"HOME DEPOT CA","Body Cream","Skin Repair","Original","Tube",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2025-04-13,"WALMART US","Body Cream","Skin Repair","Eczema Relief","Tube",NA,NA,8.98,1
"The Gorilla Glue Company LLC","OKeeffes",2025-05-11,"WALMART US","Body Cream","Skin Repair","Eczema Relief","Tube",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-04-20,"WALMART US","Body Cream","Skin Repair","Original","Pump",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-05-25,"WALMART US","Lip Balm","Lip Repair","SPF","Stick",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-06-15,"WALMART US","Lip Balm","Lip Repair","Combo","Stick",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-04-27,"WALMART US","Hand Cream","Working Hands","Original","Mixed Pack",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-06-01,"WALMART US","Hand Cream","Working Hands","Original","Mixed Pack",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2025-05-25,"WALMART CA","Body Cream","Skin Repair","Original","Tube",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART US","Hand Cream","Working Hands","Cuticle Repair","Jar",NA,NA,0,0
